MEP,group_abbv,country,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Joachim KUHS,IDG,Germany,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Miapetra KUMPULA-NATRI,S&D,Finland,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Zbigniew KUŹMIUK,ECR,Poland,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Stelios KYMPOUROPOULOS,EPP,Greece,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Georgios KYRTSOS,EPP,Greece,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Ilhan KYUCHYUK,REG,Bulgaria,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,For,Against,Against,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Sergey LAGODINSKY,Greens/EFA,Germany,Didn't vote,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Ioannis LAGOS,NI,Greece,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Aurore LALUCQ,S&D,France,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Philippe LAMBERTS,Greens/EFA,Belgium,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Danilo Oscar LANCINI,IDG,Italy,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Bernd LANGE,S&D,Germany,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,For,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Didn't vote
Esther de LANGE,EPP,Netherlands,For,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Katrin LANGENSIEPEN,Greens/EFA,Germany,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Hélène LAPORTE,IDG,France,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Pierre LARROUTUROU,S&D,France,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Gilles LEBRETON,IDG,France,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Julie LECHANTEUX,IDG,France,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
David LEGA,EPP,Sweden,For,For,For,Against,For,Against,Against,Against,For,For,For,Abstain,Against,Abstain,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Ryszard Antoni LEGUTKO,ECR,Poland,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Maria-Manuel LEITÃO-MARQUES,S&D,Portugal,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Jeroen LENAERS,EPP,Netherlands,For,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Janusz LEWANDOWSKI,EPP,Poland,For,For,For,Against,For,Against,Against,Against,Abstain,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Bogusław LIBERADZKI,S&D,Poland,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Peter LIESE,EPP,Germany,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Sylvia LIMMER,IDG,Germany,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Norbert LINS,EPP,Germany,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Elena LIZZI,IDG,Italy,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Nathalie LOISEAU,REG,France,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,For,For,For,For,Against,For,Against,For,Against,For,Abstain,For,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Morten LØKKEGAARD,REG,Denmark,Against,For,For,For,For,Abstain,For,Against,For,For,For,Abstain,Abstain,Against,Abstain,For,For,For,Abstain,Against,Against,Abstain,Against,Against,Abstain,For,Against,For,Against,Against,Against,For,Abstain,Against,For,For,For,For,For,For,For,Abstain,Abstain,Abstain
Javi LÓPEZ,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Juan Fernando LÓPEZ AGUILAR,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Leopoldo LÓPEZ GIL,EPP,Spain,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Antonio LÓPEZ-ISTÚRIZ WHITE,EPP,Spain,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
César LUENA,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Elżbieta Katarzyna ŁUKACIJEWSKA,EPP,Poland,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
Peter LUNDGREN,ECR,Sweden,Abstain,Against,Against,Against,For,For,For,Abstain,Abstain,Against,For,Against,Against,Against,For,For,For,Abstain,For,Against,Against,Abstain,Against,For,For,For,Against,For,Against,Against,Abstain,Abstain,Abstain,For,Against,Against,Abstain,For,For,Abstain,Abstain,Abstain,For,Against
Benoît LUTGEN,EPP,Belgium,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
David McALLISTER,EPP,Germany,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Jaak MADISON,IDG,Estonia,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Cristina MAESTRE MARTÍN DE ALMAGRO,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Pierfrancesco MAJORINO,S&D,Italy,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Aušra MALDEIKIENĖ,EPP,Lithuania,For,For,For,For,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Adriana MALDONADO LÓPEZ,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Claudiu MANDA,S&D,Romania,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,For
Antonius MANDERS,EPP,Netherlands,For,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Lukas MANDL,EPP,Austria,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Thierry MARIANI,IDG,France,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Marian-Jean MARINESCU,EPP,Romania,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Erik MARQUARDT,Greens/EFA,Germany,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Margarida MARQUES,S&D,Portugal,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Pedro MARQUES,S&D,Portugal,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Fulvio MARTUSCIELLO,EPP,Italy,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Marisa MATIAS,The Left,Portugal,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Predrag Fred MATIĆ,S&D,Croatia,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Emmanuel MAUREL,The Left,France,Against,Against,For,For,Against,For,For,For,Didn't vote,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Costas MAVRIDES,S&D,Cyprus,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Radka MAXOVÁ,S&D,Czech Republic,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Eva MAYDELL,EPP,Bulgaria,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Georg MAYER,IDG,Austria,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Beata MAZUREK,ECR,Poland,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Liudas MAŽYLIS,EPP,Lithuania,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Vangelis MEIMARAKIS,EPP,Greece,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Dace MELBĀRDE,ECR,Latvia,Against,For,For,Against,For,Abstain,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,For,For,Against,Against,For,For,For,For,For,For,Abstain
Karen MELCHIOR,REG,Denmark,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Joëlle MÉLIN,IDG,France,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Nuno MELO,EPP,Portugal,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Roberta METSOLA,EPP,Malta,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,Against
Tilly METZ,Greens/EFA,Luxembourg,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Jörg MEUTHEN,IDG,Germany,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Martina MICHELS,The Left,Germany,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Iskra MIHAYLOVA,REG,Bulgaria,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,For,Against,Against,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Sven MIKSER,S&D,Estonia,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Giuseppe MILAZZO,EPP,Italy,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,Abstain,Against
Francisco José MILLÁN MON,EPP,Spain,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Leszek MILLER,S&D,Poland,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Silvia MODIG,The Left,Finland,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Csaba MOLNÁR,S&D,Hungary,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote
Cláudia MONTEIRO DE AGUIAR,EPP,Portugal,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Abstain
Dolors MONTSERRAT,EPP,Spain,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Nadine MORANO,EPP,France,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Javier MORENO SÁNCHEZ,S&D,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,Against,For,Against,For,For,For,Against,Against,For
Alessandra MORETTI,S&D,Italy,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Marlene MORTLER,EPP,Germany,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Dan-Ştefan MOTREANU,EPP,Romania,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Andżelika Anna MOŻDŻANOWSKA,ECR,Poland,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Ulrike MÜLLER,REG,Germany,For,For,For,Against,For,Abstain,For,Against,Against,Abstain,Against,For,Against,For,Against,For,For,For,For,For,Abstain,For,For,Abstain,Abstain,For,Abstain,For,For,Abstain,For,For,Against,Against,For,For,For,For,For,Against,For,For,Against,For
Siegfried MUREŞAN,EPP,Romania,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Caroline NAGTEGAAL,REG,Netherlands,Against,For,Abstain,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,Against,Against,Abstain,Against,For,Abstain,For,Abstain,For,Against,Against,For,Abstain,For,For,For,For,For,For,For,For,For,For,Against,Abstain
Javier NART,REG,Spain,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Hannah NEUMANN,Greens/EFA,Germany,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Norbert NEUSER,S&D,Germany,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Dan NICA,S&D,Romania,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Angelika NIEBLER,EPP,Germany,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Luděk NIEDERMAYER,EPP,Czech Republic,For,For,For,Abstain,For,For,For,For,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Abstain
Niklas NIENASS,Greens/EFA,Germany,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Abstain
Ville NIINISTÖ,Greens/EFA,Finland,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
